name,n
Emmalyn,528
Ivory,528
Ivanna,527
Jamie,527
Kara,526
Aitana,525
Jayda,524
Justice,524
Meredith,524
Briar,523
Skyla,523
Khaleesi,522
Dayana,520
Julieta,520
Katalina,519
Kendra,518
Oaklyn,518
Ashlyn,516
Armani,515
Jazmin,513
Kyra,511
Angelica,508
Zahra,508
Dallas,507
Johanna,507
Elliot,506
Macy,506
Monroe,505
Kimber,503
Henley,501
Ari,500
Karsyn,500
Lyanna,499
Lilian,498
Amalia,497
Nola,497
Dior,496
Aleena,495
Megan,493
Michaela,492
Amirah,490
Cassandra,490
Melany,490
Legacy,489
Reyna,488
Alma,487
Emmie,485
Melina,484
Siena,484
Priscilla,480
Ashlynn,478
Savanna,478
Sloan,478
Tiana,477
Aubrie,476
Coraline,476
Reina,476
Allyson,473
Kaydence,472
Sasha,472
Julie,471
Alexia,466
Irene,464
Marilyn,462
Greta,459
Braelyn,458
Emerie,457
Lylah,455
Nalani,454
Monica,453
Aileen,451
Lauryn,451
Anahi,449
Aurelia,449
Kassidy,448
Rayna,448
Romina,447
Lillie,446
Marie,446
Rosa,446
Saige,446
Bonnie,445
Kelly,445
Xiomara,445
Annabella,444
Avah,441
Lacey,441
Anya,440
Liberty,440
Karen,438
Mercy,437
Zelda,434
Baylee,433
Chaya,433
Kenna,432
Roselyn,432
Liv,431
Mara,431
Ensley,430
Malani,430
Malaya,430
Hadassah,428
Lyra,428
Adley,427
Galilea,427
Jaylah,427
Karla,425
Nala,425
Opal,424
Aliza,423
Milena,423
Ailani,422
Louisa,422
Mina,422
Kairi,421
Clementine,420
Louise,420
Maleah,420
Janiyah,418
Marina,417
Anika,416
Julissa,415
Bailee,414
Hayley,414
Jessie,414
Laney,414
Eileen,413
Faye,413
Kynlee,413
Tiffany,413
Lara,412
Angie,411
Joelle,410
Rhea,409
Calliope,406
Jazmine,405
Amani,401
Haylee,401
Aliana,400
Leyla,398
Jolie,397
Kinslee,397
Ryann,397
Simone,397
Milan,396
Lennox,395
Treasure,395
Alora,394
Ellis,394
Rebekah,394
Mikaela,392
Lina,391
Harmoni,390
Yareli,390
Giuliana,389
Lea,388
Harlee,387
Elyse,385
Frida,385
Blaire,384
Aya,383
Laurel,383
Meghan,383
Pearl,383
Zaylee,383
Alena,382
Holland,382
Bria,381
Rayne,381
Bridget,380
Zariyah,380
Kori,379
Frankie,378
Clarissa,377
Brylee,375
Davina,375
Rivka,375
Cynthia,373
Zaria,373
Madalyn,372
Paula,372
Salem,372
Amelie,370
Madisyn,370
Vienna,370
Haisley,369
Ainhoa,367
Journi,367
Karter,367
Oaklee,367
Livia,366
Miley,365
Adele,364
Amaia,364
Yara,362
Averi,361
Emmeline,359
Kyleigh,359
Princess,359
Penny,358
Sariyah,357
Amayah,356
Crystal,356
Keyla,355
Lilyana,355
Linda,355
Aniya,354
Marianna,354
Alaiya,353
Noemi,353
Chanel,352
Estella,352
Isabela,352
Jillian,352
Kallie,352
Ellianna,350
Elsa,350
Itzayana,350
Zora,349
Estelle,348
Chana,347
Raina,347
Royal,347
Sunny,347
Estrella,346
Martha,346
Ellen,345
Kailey,345
Maxine,345
Clare,342
Teresa,342
Annika,341
Kamilah,340
Azariah,339
Della,339
Addyson,338
Kai,338
Lilianna,338
Tinsley,336
Yaritza,336
Navy,335
Winnie,335
Andi,333
Kamiyah,333
Waverly,333
Sky,332
Amaris,331
Ramona,331
Saoirse,331
Hana,330
Judith,330
Halle,329
Laylah,329
Novalee,329
Jaycee,328
Zaniyah,328
Alianna,327
Paulina,327
Jayde,326
Thalia,326
Giovanna,325
Gwen,325
Iliana,324
Elora,323
Ezra,323
Kaylie,322
Braylee,321
Mavis,319
Ellison,318
Margo,318
Mylah,318
Paisleigh,318
Analia,317
August,317
Brittany,316
Kaisley,316
Belen,315
Promise,315
Amiya,314
Dalary,314
Veda,314
Alisson,313
Keilani,313
Oakleigh,313
Guadalupe,312
Leanna,311
Rosalyn,311
Selene,311
Theodora,311
Kamari,310
Anais,309
Elodie,308
Celia,307
Dani,307
Hunter,307
Indie,307
Kenia,307
Nellie,307
Belle,306
Kataleya,306
Lexie,306
Miah,306
Rylan,306
Sylvie,306
Valery,306
Addilynn,305
Dulce,305
Marissa,305
Meilani,305
Natasha,305
Jaylee,304
Kimora,304
Raquel,304
Scarlette,304
Aliya,303
Nataly,303
Whitney,303
Corinne,300
Denver,300
Nathalie,298
Kiera,297
Milana,297
Vada,297
Violeta,297
Luz,296
Addisyn,295
Casey,295
Deborah,293
Tori,293
Zainab,293
Erika,292
Jenesis,292
Avalynn,291
Nancy,291
Emmalynn,290
Hadlee,290
Heavenly,290
Aubrielle,289
Elisabeth,289
Salma,289
Adalee,288
Landry,288
Malayah,288
Novah,288
Egypt,287
Ayleen,286
Blessing,286
Elina,286
Joyce,286
Myah,286
Zoie,286
Christine,285
Jaelynn,285
Persephone,285
Chandler,284
Emmaline,284
Paloma,284
Harleigh,283
Noor,283
Paola,283
India,282
Madalynn,282
Rosalee,282
Florence,281
Maliah,281
Flora,280
Luella,280
Patricia,280
Whitley,280
Carolyn,279
Kathleen,279
Keily,279
Kiana,279
Tenley,279
Alyson,278
Barbara,278
Dana,278
Yasmin,278
Bexley,277
Micah,277
Tatiana,277
Arden,276
Aubriella,276
Lindsey,276
Emani,274
Hailee,274
Lisa,274
Sevyn,274
Fallon,273
Magdalena,273
Tinley,273
Halo,272
Lailah,272
Arlette,271
Ansley,270
Esperanza,270
Cleo,269
Aila,268
Emerald,268
Jaelyn,268
Karlee,267
Kaya,267
Ingrid,266
Jewel,266
Emilee,264
Giana,263
Paityn,263
Zola,263
Amoura,262
Renee,262
Ann,261
Berkley,261
Harriet,261
Queen,261
Sariah,261
Beatrix,260
Sandra,260
Alannah,259
Austyn,259
Freyja,259
Kaylin,259
Samira,259
Taliyah,259
Hadleigh,258
Kaiya,258
Robin,258
Luisa,257
Zendaya,257
Ariadne,256
Dixie,256
