Rank,Track,Artist,Streams,Date,WeekDay,Month
43,Those Kinda Nights (feat. Ed Sheeran),Eminem,576130,2020-01-22,Wed,Jan
44,Watermelon Sugar,Harry Styles,575181,2020-01-22,Wed,Jan
45,Darkness,Eminem,571094,2020-01-22,Wed,Jan
46,Complicated,Mac Miller,566054,2020-01-22,Wed,Jan
47,Memories,Maroon 5,552430,2020-01-22,Wed,Jan
48,Unaccommodating (feat. Young M.A),Eminem,544727,2020-01-22,Wed,Jan
49,Woods,Mac Miller,534288,2020-01-22,Wed,Jan
50,bad guy,Billie Eilish,513667,2020-01-22,Wed,Jan
51,Lucid Dreams,Juice WRLD,512629,2020-01-22,Wed,Jan
52,Heartless,The Weeknd,503276,2020-01-22,Wed,Jan
53,Everybody,Mac Miller,494074,2020-01-22,Wed,Jan
54,Robbery,Juice WRLD,487678,2020-01-22,Wed,Jan
55,Suge,DaBaby,482049,2020-01-22,Wed,Jan
56,Eleven,Khalid,480043,2020-01-22,Wed,Jan
57,"10,000 Hours (with Justin Bieber)",Dan + Shay,463542,2020-01-22,Wed,Jan
58,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,455403,2020-01-22,Wed,Jan
59,ORANGE SODA,BaKeem,452708,2020-01-22,Wed,Jan
60,Surf,Mac Miller,452518,2020-01-22,Wed,Jan
61,Money In The Grave (Drake ft. Rick Ross),Drake,445773,2020-01-22,Wed,Jan
62,Ransom,Lil Tecca,437219,2020-01-22,Wed,Jan
63,Start Wit Me (feat. Gunna),Roddy Ricch,425359,2020-01-22,Wed,Jan
64,223's (feat. 9lokknine),YNW Melly,424957,2020-01-22,Wed,Jan
65,MIDDLE CHILD,J. Cole,424256,2020-01-22,Wed,Jan
66,Truth Hurts,Lizzo,420361,2020-01-22,Wed,Jan
67,Leaving Heaven (feat. Skylar Grey),Eminem,419944,2020-01-22,Wed,Jan
68,Graveyard,Halsey,415116,2020-01-22,Wed,Jan
69,GOODMORNINGTOKYO!,TOKYO’S REVENGE,412672,2020-01-22,Wed,Jan
70,Make No Sense,YoungBoy Never Broke Again,409264,2020-01-22,Wed,Jan
71,Death,"Trippie Redd, DaBaby",408413,2020-01-22,Wed,Jan
72,That's On Me,Mac Miller,407665,2020-01-22,Wed,Jan
73,July,Noah Cyrus,406706,2020-01-22,Wed,Jan
74,No Guidance (feat. Drake),Chris Brown,406700,2020-01-22,Wed,Jan
75,If the World Was Ending - feat. Julia Michaels,JP Saxe,406018,2020-01-22,Wed,Jan
76,Goodbyes (Feat. Young Thug),Post Malone,405656,2020-01-22,Wed,Jan
77,FML,Arizona Zervas,405618,2020-01-22,Wed,Jan
78,Without Me,Halsey,404429,2020-01-22,Wed,Jan
79,In Too Deep,Eminem,402413,2020-01-22,Wed,Jan
80,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,401536,2020-01-22,Wed,Jan
81,Lock It Up (feat. Anderson .Paak),Eminem,400670,2020-01-22,Wed,Jan
82,Once A Day,Mac Miller,397705,2020-01-22,Wed,Jan
83,Black Swan,BTS,397494,2020-01-22,Wed,Jan
84,No Regrets (feat. Don Toliver),Eminem,397047,2020-01-22,Wed,Jan
85,when the party's over,Billie Eilish,395144,2020-01-22,Wed,Jan
86,Señorita,"Shawn Mendes, Camila Cabello",390274,2020-01-22,Wed,Jan
87,me & ur ghost,blackbear,386540,2020-01-22,Wed,Jan
88,Stuck In A Dream (feat. Gunna),Lil Mosey,384256,2020-01-22,Wed,Jan
89,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,383297,2020-01-22,Wed,Jan
90,Wow.,Post Malone,383254,2020-01-22,Wed,Jan
91,Yellow Hearts,Ant Saunders,379843,2020-01-22,Wed,Jan
92,Peta (feat. Meek Mill),Roddy Ricch,376364,2020-01-22,Wed,Jan
93,Marsh,Eminem,370469,2020-01-22,Wed,Jan
94,Hands,Mac Miller,366365,2020-01-22,Wed,Jan
95,Camelot,NLE Choppa,365093,2020-01-22,Wed,Jan
96,All Girls Are The Same,Juice WRLD,365039,2020-01-22,Wed,Jan
97,Premonition - Intro,Eminem,364259,2020-01-22,Wed,Jan
98,Baby (Lil Baby feat. DaBaby),Quality Control,361394,2020-01-22,Wed,Jan
99,lovely (with Khalid),Billie Eilish,355226,2020-01-22,Wed,Jan
100,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",348638,2020-01-22,Wed,Jan
101,SLOW DANCING IN THE DARK,Joji,346433,2020-01-22,Wed,Jan
102,Before You Go,Lewis Capaldi,344571,2020-01-22,Wed,Jan
103,Maniac,Conan Gray,340254,2020-01-22,Wed,Jan
104,Murder On My Mind,YNW Melly,340188,2020-01-22,Wed,Jan
105,Falling,Harry Styles,336773,2020-01-22,Wed,Jan
106,The London (feat. J. Cole & Travis Scott),Young Thug,335248,2020-01-22,Wed,Jan
107,Drip Too Hard (Lil Baby & Gunna),Lil Baby,334805,2020-01-22,Wed,Jan
108,Still Learning,Halsey,334047,2020-01-22,Wed,Jan
109,Vete,Bad Bunny,331216,2020-01-22,Wed,Jan
110,Hate Me (with Juice WRLD),Ellie Goulding,331194,2020-01-22,Wed,Jan
111,Going Bad (feat. Drake),Meek Mill,328800,2020-01-22,Wed,Jan
112,Pop Out (feat. Lil Tjay),Polo G,327256,2020-01-22,Wed,Jan
113,Farewell,Eminem,327155,2020-01-22,Wed,Jan
114,Stepdad,Eminem,326157,2020-01-22,Wed,Jan
115,Sunday Best,Surfaces,325683,2020-01-22,Wed,Jan
116,Little Engine,Eminem,321433,2020-01-22,Wed,Jan
117,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",Eminem,321144,2020-01-22,Wed,Jan
118,How I Move (feat. Lil Baby),Flipp Dinero,319866,2020-01-22,Wed,Jan
119,Lights Up,Harry Styles,318263,2020-01-22,Wed,Jan
120,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,316631,2020-01-22,Wed,Jan
121,SICKO MODE,Travis Scott,315044,2020-01-22,Wed,Jan
122,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,314965,2020-01-22,Wed,Jan
123,F.N,Lil Tjay,313808,2020-01-22,Wed,Jan
124,Had Enough (feat. Quavo & Offset),Don Toliver,313570,2020-01-22,Wed,Jan
125,Legends,Juice WRLD,313530,2020-01-22,Wed,Jan
126,6 Kiss,"Trippie Redd, Juice WRLD, YNW Melly",311058,2020-01-22,Wed,Jan
127,Never Love Again,Eminem,309262,2020-01-22,Wed,Jan
128,3am,Halsey,309156,2020-01-22,Wed,Jan
129,U Played (feat. Lil Baby),Moneybagg Yo,307094,2020-01-22,Wed,Jan
130,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,305472,2020-01-22,Wed,Jan
131,EARFQUAKE,"Tyler, The Creator",303520,2020-01-22,Wed,Jan
132,Jocelyn Flores,XXXTENTACION,302705,2020-01-22,Wed,Jan
133,P*$$Y Fairy (OTW),Jhené Aiko,302323,2020-01-22,Wed,Jan
134,SAD!,XXXTENTACION,296941,2020-01-22,Wed,Jan
135,Heartless (feat. Morgan Wallen),Diplo,296932,2020-01-22,Wed,Jan
136,I Fall Apart,Post Malone,295900,2020-01-22,Wed,Jan
137,Immortal,21 Savage,295615,2020-01-22,Wed,Jan
138,Enemies (feat. DaBaby),Post Malone,294669,2020-01-22,Wed,Jan
139,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",Eminem,294423,2020-01-22,Wed,Jan
140,Lalala,"Y2K, bbno$",292701,2020-01-22,Wed,Jan
141,Break My Stride,Matthew Wilder,290225,2020-01-22,Wed,Jan
142,rockstar (feat. 21 Savage),Post Malone,287792,2020-01-22,Wed,Jan
143,Juicy,"Doja Cat, Tyga",287168,2020-01-22,Wed,Jan
144,Somebody,"Internet Money, Lil Tecca, A Boogie Wit da Hoodie",286602,2020-01-22,Wed,Jan
145,Hot (feat. Gunna),Young Thug,286590,2020-01-22,Wed,Jan
146,Money Talk,"Rich The Kid, YoungBoy Never Broke Again",284346,2020-01-22,Wed,Jan
147,Beautiful People (feat. Khalid),Ed Sheeran,284136,2020-01-22,Wed,Jan
148,VALENTINO,24kGoldn,284024,2020-01-22,Wed,Jan
149,7 rings,Ariana Grande,282282,2020-01-22,Wed,Jan
150,I Don't Care (with Justin Bieber),Ed Sheeran,281847,2020-01-22,Wed,Jan
151,BEST ON EARTH (feat. BIA) - Bonus,Russ,281518,2020-01-22,Wed,Jan
152,ocean eyes,Billie Eilish,279624,2020-01-22,Wed,Jan
153,One Man Band,Old Dominion,279516,2020-01-22,Wed,Jan
154,Cash Shit (feat. DaBaby),Megan Thee Stallion,276611,2020-01-22,Wed,Jan
155,Sucker,Jonas Brothers,276593,2020-01-22,Wed,Jan
156,Sanguine Paradise,Lil Uzi Vert,276520,2020-01-22,Wed,Jan
157,Talk (feat. Disclosure),Khalid,276165,2020-01-22,Wed,Jan
158,UP THE SMOKE (with Offset),Stunna 4 Vegas,275509,2020-01-22,Wed,Jan
159,Trampoline (with ZAYN),SHAED,274817,2020-01-22,Wed,Jan
160,Into the Unknown,"Idina Menzel, AURORA",272316,2020-01-22,Wed,Jan
161,Eastside (with Halsey & Khalid),benny blanco,271670,2020-01-22,Wed,Jan
162,Alfred - Interlude,Eminem,270641,2020-01-22,Wed,Jan
163,Panini,Lil Nas X,269349,2020-01-22,Wed,Jan
164,Better Now,Post Malone,269106,2020-01-22,Wed,Jan
165,One Thing Right,"Marshmello, Kane Brown",268602,2020-01-22,Wed,Jan
166,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,268572,2020-01-22,Wed,Jan
167,Hop Off A Jet (feat. Travis Scott),Young Thug,267916,2020-01-22,Wed,Jan
168,Armed And Dangerous,Juice WRLD,267431,2020-01-22,Wed,Jan
169,Let Me Know (I Wonder Why Freestyle),Juice WRLD,264502,2020-01-22,Wed,Jan
170,It's You,Ali Gatie,263666,2020-01-22,Wed,Jan
171,goosebumps,Travis Scott,262749,2020-01-22,Wed,Jan
172,Speechless,Dan + Shay,260882,2020-01-22,Wed,Jan
173,Finally // beautiful stranger,Halsey,258076,2020-01-22,Wed,Jan
174,Happier,"Marshmello, Bastille",257993,2020-01-22,Wed,Jan
175,i love you,Billie Eilish,257514,2020-01-22,Wed,Jan
176,Fuck Love (feat. Trippie Redd),XXXTENTACION,257309,2020-01-22,Wed,Jan
177,Lean Wit Me,Juice WRLD,255787,2020-01-22,Wed,Jan
178,Beautiful Crazy,Luke Combs,252990,2020-01-22,Wed,Jan
179,Ransom (with Juice WRLD) - Remix,Lil Tecca,252988,2020-01-22,Wed,Jan
180,Best Part (feat. Daniel Caesar),H.E.R.,252691,2020-01-22,Wed,Jan
181,XO Tour Llif3,Lil Uzi Vert,252629,2020-01-22,Wed,Jan
182,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",252332,2020-01-22,Wed,Jan
183,Better,Khalid,251969,2020-01-22,Wed,Jan
184,Ayy Macarena,Tyga,251910,2020-01-22,Wed,Jan
185,Ashley,Halsey,251696,2020-01-22,Wed,Jan
186,bury a friend,Billie Eilish,250692,2020-01-22,Wed,Jan
187,Moonlight,XXXTENTACION,249829,2020-01-22,Wed,Jan
188,I.F.L.Y.,Bazzi,249170,2020-01-22,Wed,Jan
189,The Less I Know The Better,Tame Impala,247972,2020-01-22,Wed,Jan
190,Pure Water (with Migos),Mustard,246092,2020-01-22,Wed,Jan
191,Mean It,"Lauv, LANY",245106,2020-01-22,Wed,Jan
192,Famous Hoes,NLE Choppa,244169,2020-01-22,Wed,Jan
193,wish you were gay,Billie Eilish,243550,2020-01-22,Wed,Jan
194,Yes Indeed,"Lil Baby, Drake",243175,2020-01-22,Wed,Jan
195,I Hope,GabBarrett,242845,2020-01-22,Wed,Jan
196,Never Seen the Rain,Tones And I,242650,2020-01-22,Wed,Jan
197,You Need To Calm Down,Taylor Swift,241598,2020-01-22,Wed,Jan
198,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,240429,2020-01-22,Wed,Jan
199,all the good girls go to hell,Billie Eilish,239404,2020-01-22,Wed,Jan
200,Envy Me,Calboy,239356,2020-01-22,Wed,Jan
1,The Box,Roddy Ricch,3226282,2020-01-23,Thu,Jan
2,Godzilla (feat. Juice WRLD),Eminem,2072619,2020-01-23,Thu,Jan
3,Life Is Good (feat. Drake),Future,2063686,2020-01-23,Thu,Jan
4,ROXANNE,Arizona Zervas,1236623,2020-01-23,Thu,Jan
5,Good News,Mac Miller,1222152,2020-01-23,Thu,Jan
6,BOP,DaBaby,1117981,2020-01-23,Thu,Jan
7,Suicidal,YNW Melly,1060185,2020-01-23,Thu,Jan
8,Falling,Trevor Daniel,1040068,2020-01-23,Thu,Jan
9,Circles,Post Malone,1035655,2020-01-23,Thu,Jan
10,Blinding Lights,The Weeknd,1019004,2020-01-23,Thu,Jan
11,You should be sad,Halsey,959902,2020-01-23,Thu,Jan
12,Dance Monkey,Tones And I,930665,2020-01-23,Thu,Jan
13,Bandit (with YoungBoy Never Broke Again),Juice WRLD,907472,2020-01-23,Thu,Jan
14,Futsal Shuffle 2020,Lil Uzi Vert,888326,2020-01-23,Thu,Jan
15,Ballin' (with Roddy Ricch),Mustard,886143,2020-01-23,Thu,Jan
16,High Fashion (feat. Mustard),Roddy Ricch,871220,2020-01-23,Thu,Jan
17,Yummy,Justin Bieber,834049,2020-01-23,Thu,Jan
18,everything i wanted,Billie Eilish,820067,2020-01-23,Thu,Jan
19,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,814291,2020-01-23,Thu,Jan
20,Blue World,Mac Miller,785692,2020-01-23,Thu,Jan
21,Don't Start Now,Dua Lipa,767430,2020-01-23,Thu,Jan
22,SUGAR,BROCKHAMPTON,763332,2020-01-23,Thu,Jan
23,What A Man Gotta Do,Jonas Brothers,727738,2020-01-23,Thu,Jan
24,Say So,Doja Cat,703748,2020-01-23,Thu,Jan
25,Adore You,Harry Styles,695860,2020-01-23,Thu,Jan
26,VIBEZ,DaBaby,688640,2020-01-23,Thu,Jan
27,hot girl bummer,blackbear,680358,2020-01-23,Thu,Jan
28,No Idea,Don Toliver,679590,2020-01-23,Thu,Jan
29,Sum 2 Prove,Lil Baby,664691,2020-01-23,Thu,Jan
30,Woah,Lil Baby,657081,2020-01-23,Thu,Jan
31,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",639384,2020-01-23,Thu,Jan
32,My Oh My (feat. DaBaby),Camila Cabello,637947,2020-01-23,Thu,Jan
33,Someone You Loved,Lewis Capaldi,622532,2020-01-23,Thu,Jan
34,Rare,Selena Gomez,618044,2020-01-23,Thu,Jan
35,Circles,Mac Miller,610507,2020-01-23,Thu,Jan
36,HIGHEST IN THE ROOM,Travis Scott,606138,2020-01-23,Thu,Jan
37,Tusa,"KAROL G, Nicki Minaj",599885,2020-01-23,Thu,Jan
38,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",598117,2020-01-23,Thu,Jan
39,Lose You To Love Me,Selena Gomez,590196,2020-01-23,Thu,Jan
40,Watermelon Sugar,Harry Styles,585781,2020-01-23,Thu,Jan
41,I Can See,Mac Miller,582440,2020-01-23,Thu,Jan
42,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,565771,2020-01-23,Thu,Jan
43,Those Kinda Nights (feat. Ed Sheeran),Eminem,562893,2020-01-23,Thu,Jan
44,Memories,Maroon 5,561600,2020-01-23,Thu,Jan
45,Hand Me Downs,Mac Miller,556414,2020-01-23,Thu,Jan
46,Darkness,Eminem,554435,2020-01-23,Thu,Jan
47,Lucid Dreams,Juice WRLD,529396,2020-01-23,Thu,Jan
48,Unaccommodating (feat. Young M.A),Eminem,528396,2020-01-23,Thu,Jan
49,Heartless,The Weeknd,519506,2020-01-23,Thu,Jan
50,Robbery,Juice WRLD,509475,2020-01-23,Thu,Jan
51,bad guy,Billie Eilish,501115,2020-01-23,Thu,Jan
52,Suge,DaBaby,498318,2020-01-23,Thu,Jan
53,Complicated,Mac Miller,497420,2020-01-23,Thu,Jan
54,"10,000 Hours (with Justin Bieber)",Dan + Shay,496655,2020-01-23,Thu,Jan
55,Eleven,Khalid,485084,2020-01-23,Thu,Jan
56,Woods,Mac Miller,473111,2020-01-23,Thu,Jan
57,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,464606,2020-01-23,Thu,Jan
58,ORANGE SODA,BaKeem,463918,2020-01-23,Thu,Jan
59,Money In The Grave (Drake ft. Rick Ross),Drake,458336,2020-01-23,Thu,Jan
60,Ransom,Lil Tecca,446734,2020-01-23,Thu,Jan
61,Black Swan,BTS,439958,2020-01-23,Thu,Jan
62,Start Wit Me (feat. Gunna),Roddy Ricch,438818,2020-01-23,Thu,Jan
63,223's (feat. 9lokknine),YNW Melly,438487,2020-01-23,Thu,Jan
64,MIDDLE CHILD,J. Cole,436172,2020-01-23,Thu,Jan
65,Everybody,Mac Miller,428501,2020-01-23,Thu,Jan
66,GOODMORNINGTOKYO!,TOKYO’S REVENGE,428072,2020-01-23,Thu,Jan
67,Make No Sense,YoungBoy Never Broke Again,424544,2020-01-23,Thu,Jan
68,Truth Hurts,Lizzo,423076,2020-01-23,Thu,Jan
69,No Guidance (feat. Drake),Chris Brown,421024,2020-01-23,Thu,Jan
70,Goodbyes (Feat. Young Thug),Post Malone,417236,2020-01-23,Thu,Jan
71,Death,"Trippie Redd, DaBaby",416691,2020-01-23,Thu,Jan
72,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,414509,2020-01-23,Thu,Jan
73,If the World Was Ending - feat. Julia Michaels,JP Saxe,413449,2020-01-23,Thu,Jan
74,July,Noah Cyrus,412534,2020-01-23,Thu,Jan
75,FML,Arizona Zervas,412385,2020-01-23,Thu,Jan
76,Leaving Heaven (feat. Skylar Grey),Eminem,406889,2020-01-23,Thu,Jan
77,Señorita,"Shawn Mendes, Camila Cabello",404065,2020-01-23,Thu,Jan
78,Graveyard,Halsey,403271,2020-01-23,Thu,Jan
79,Without Me,Halsey,402164,2020-01-23,Thu,Jan
80,Surf,Mac Miller,401605,2020-01-23,Thu,Jan
81,Wow.,Post Malone,398097,2020-01-23,Thu,Jan
82,Stuck In A Dream (feat. Gunna),Lil Mosey,397225,2020-01-23,Thu,Jan
83,In Too Deep,Eminem,389985,2020-01-23,Thu,Jan
84,when the party's over,Billie Eilish,387712,2020-01-23,Thu,Jan
85,Lock It Up (feat. Anderson .Paak),Eminem,387690,2020-01-23,Thu,Jan
86,Yellow Hearts,Ant Saunders,386184,2020-01-23,Thu,Jan
87,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,385677,2020-01-23,Thu,Jan
88,me & ur ghost,blackbear,385106,2020-01-23,Thu,Jan
89,No Regrets (feat. Don Toliver),Eminem,384637,2020-01-23,Thu,Jan
90,All Girls Are The Same,Juice WRLD,383805,2020-01-23,Thu,Jan
91,Peta (feat. Meek Mill),Roddy Ricch,381923,2020-01-23,Thu,Jan
92,Camelot,NLE Choppa,377429,2020-01-23,Thu,Jan
93,Baby (Lil Baby feat. DaBaby),Quality Control,371892,2020-01-23,Thu,Jan
94,Marsh,Eminem,365873,2020-01-23,Thu,Jan
95,lovely (with Khalid),Billie Eilish,364752,2020-01-23,Thu,Jan
96,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",358840,2020-01-23,Thu,Jan
97,That's On Me,Mac Miller,355939,2020-01-23,Thu,Jan
98,Premonition - Intro,Eminem,355731,2020-01-23,Thu,Jan
99,Murder On My Mind,YNW Melly,354352,2020-01-23,Thu,Jan
100,Before You Go,Lewis Capaldi,354060,2020-01-23,Thu,Jan
101,SLOW DANCING IN THE DARK,Joji,353961,2020-01-23,Thu,Jan
102,Once A Day,Mac Miller,350198,2020-01-23,Thu,Jan
103,Drip Too Hard (Lil Baby & Gunna),Lil Baby,348200,2020-01-23,Thu,Jan
104,The London (feat. J. Cole & Travis Scott),Young Thug,345149,2020-01-23,Thu,Jan
105,Sunday Best,Surfaces,344498,2020-01-23,Thu,Jan
106,Vete,Bad Bunny,343958,2020-01-23,Thu,Jan
107,Pop Out (feat. Lil Tjay),Polo G,343395,2020-01-23,Thu,Jan
108,Going Bad (feat. Drake),Meek Mill,342188,2020-01-23,Thu,Jan
109,Falling,Harry Styles,340119,2020-01-23,Thu,Jan
110,Hate Me (with Juice WRLD),Ellie Goulding,338504,2020-01-23,Thu,Jan
111,Maniac,Conan Gray,338410,2020-01-23,Thu,Jan
112,Lights Up,Harry Styles,332128,2020-01-23,Thu,Jan
113,Legends,Juice WRLD,331920,2020-01-23,Thu,Jan
114,How I Move (feat. Lil Baby),Flipp Dinero,330573,2020-01-23,Thu,Jan
115,SICKO MODE,Travis Scott,328631,2020-01-23,Thu,Jan
116,Still Learning,Halsey,325018,2020-01-23,Thu,Jan
117,Had Enough (feat. Quavo & Offset),Don Toliver,324154,2020-01-23,Thu,Jan
118,F.N,Lil Tjay,323732,2020-01-23,Thu,Jan
119,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,322910,2020-01-23,Thu,Jan
120,Jocelyn Flores,XXXTENTACION,322856,2020-01-23,Thu,Jan
121,6 Kiss,"Trippie Redd, Juice WRLD, YNW Melly",319226,2020-01-23,Thu,Jan
122,SAD!,XXXTENTACION,318769,2020-01-23,Thu,Jan
123,Hands,Mac Miller,318567,2020-01-23,Thu,Jan
124,Farewell,Eminem,317312,2020-01-23,Thu,Jan
125,Stepdad,Eminem,315282,2020-01-23,Thu,Jan
126,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,315015,2020-01-23,Thu,Jan
127,Simmer,Hayley Williams,312766,2020-01-23,Thu,Jan
128,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,312113,2020-01-23,Thu,Jan
129,Little Engine,Eminem,312014,2020-01-23,Thu,Jan
130,U Played (feat. Lil Baby),Moneybagg Yo,311265,2020-01-23,Thu,Jan
131,EARFQUAKE,"Tyler, The Creator",309917,2020-01-23,Thu,Jan
132,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",Eminem,309669,2020-01-23,Thu,Jan
133,P*$$Y Fairy (OTW),Jhené Aiko,308476,2020-01-23,Thu,Jan
134,Beautiful People (feat. Khalid),Ed Sheeran,307121,2020-01-23,Thu,Jan
135,I Fall Apart,Post Malone,307002,2020-01-23,Thu,Jan
136,Heartless (feat. Morgan Wallen),Diplo,305306,2020-01-23,Thu,Jan
137,Immortal,21 Savage,302061,2020-01-23,Thu,Jan
138,Enemies (feat. DaBaby),Post Malone,302050,2020-01-23,Thu,Jan
139,Never Love Again,Eminem,299987,2020-01-23,Thu,Jan
140,Lalala,"Y2K, bbno$",299939,2020-01-23,Thu,Jan
141,rockstar (feat. 21 Savage),Post Malone,299315,2020-01-23,Thu,Jan
142,I Don't Care (with Justin Bieber),Ed Sheeran,295836,2020-01-23,Thu,Jan
143,Juicy,"Doja Cat, Tyga",295720,2020-01-23,Thu,Jan
144,Somebody,"Internet Money, Lil Tecca, A Boogie Wit da Hoodie",294580,2020-01-23,Thu,Jan
145,7 rings,Ariana Grande,294077,2020-01-23,Thu,Jan
146,Money Talk,"Rich The Kid, YoungBoy Never Broke Again",292620,2020-01-23,Thu,Jan
147,Hot (feat. Gunna),Young Thug,292420,2020-01-23,Thu,Jan
148,BEST ON EARTH (feat. BIA) - Bonus,Russ,290331,2020-01-23,Thu,Jan
149,3am,Halsey,289532,2020-01-23,Thu,Jan
150,Sanguine Paradise,Lil Uzi Vert,288258,2020-01-23,Thu,Jan
151,Cash Shit (feat. DaBaby),Megan Thee Stallion,287885,2020-01-23,Thu,Jan
152,VALENTINO,24kGoldn,287883,2020-01-23,Thu,Jan
153,Sucker,Jonas Brothers,286304,2020-01-23,Thu,Jan
154,One Man Band,Old Dominion,285368,2020-01-23,Thu,Jan
155,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",Eminem,284698,2020-01-23,Thu,Jan
156,Eastside (with Halsey & Khalid),benny blanco,284409,2020-01-23,Thu,Jan
157,Talk (feat. Disclosure),Khalid,283424,2020-01-23,Thu,Jan
158,Armed And Dangerous,Juice WRLD,281265,2020-01-23,Thu,Jan
159,UP THE SMOKE (with Offset),Stunna 4 Vegas,280814,2020-01-23,Thu,Jan
160,Trampoline (with ZAYN),SHAED,280674,2020-01-23,Thu,Jan
161,Break My Stride,Matthew Wilder,279882,2020-01-23,Thu,Jan
162,Panini,Lil Nas X,279247,2020-01-23,Thu,Jan
163,Better Now,Post Malone,279231,2020-01-23,Thu,Jan
164,Into the Unknown,"Idina Menzel, AURORA",278367,2020-01-23,Thu,Jan
165,Fuck Love (feat. Trippie Redd),XXXTENTACION,277264,2020-01-23,Thu,Jan
166,One Thing Right,"Marshmello, Kane Brown",276322,2020-01-23,Thu,Jan
167,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,276252,2020-01-23,Thu,Jan
168,It's You,Ali Gatie,276199,2020-01-23,Thu,Jan
169,goosebumps,Travis Scott,273842,2020-01-23,Thu,Jan
170,ocean eyes,Billie Eilish,273744,2020-01-23,Thu,Jan
171,Let Me Know (I Wonder Why Freestyle),Juice WRLD,272069,2020-01-23,Thu,Jan
172,Hop Off A Jet (feat. Travis Scott),Young Thug,271287,2020-01-23,Thu,Jan
173,Happier,"Marshmello, Bastille",269922,2020-01-23,Thu,Jan
174,Lean Wit Me,Juice WRLD,269263,2020-01-23,Thu,Jan
175,Moonlight,XXXTENTACION,266340,2020-01-23,Thu,Jan
176,Speechless,Dan + Shay,265125,2020-01-23,Thu,Jan
177,XO Tour Llif3,Lil Uzi Vert,264586,2020-01-23,Thu,Jan
178,Ransom (with Juice WRLD) - Remix,Lil Tecca,263637,2020-01-23,Thu,Jan
179,Alfred - Interlude,Eminem,262014,2020-01-23,Thu,Jan
180,Beautiful Crazy,Luke Combs,261399,2020-01-23,Thu,Jan
181,Better,Khalid,260202,2020-01-23,Thu,Jan
182,Ayy Macarena,Tyga,259309,2020-01-23,Thu,Jan
183,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",258179,2020-01-23,Thu,Jan
184,Best Part (feat. Daniel Caesar),H.E.R.,257633,2020-01-23,Thu,Jan
185,The Less I Know The Better,Tame Impala,256197,2020-01-23,Thu,Jan
186,Pure Water (with Migos),Mustard,256063,2020-01-23,Thu,Jan
187,You Need To Calm Down,Taylor Swift,253752,2020-01-23,Thu,Jan
188,i love you,Billie Eilish,253458,2020-01-23,Thu,Jan
189,I.F.L.Y.,Bazzi,252983,2020-01-23,Thu,Jan
190,I Hope,GabBarrett,252207,2020-01-23,Thu,Jan
191,Yes Indeed,"Lil Baby, Drake",251720,2020-01-23,Thu,Jan
192,Finally // beautiful stranger,Halsey,250983,2020-01-23,Thu,Jan
193,Famous Hoes,NLE Choppa,250023,2020-01-23,Thu,Jan
194,Envy Me,Calboy,249946,2020-01-23,Thu,Jan
195,Never Seen the Rain,Tones And I,249138,2020-01-23,Thu,Jan
196,Mean It,"Lauv, LANY",249061,2020-01-23,Thu,Jan
197,Whiskey Glasses,Morgan Wallen,246840,2020-01-23,Thu,Jan
198,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",246165,2020-01-23,Thu,Jan
199,Bruises,Lewis Capaldi,245876,2020-01-23,Thu,Jan
200,No Role Modelz,J. Cole,244628,2020-01-23,Thu,Jan
1,The Box,Roddy Ricch,3320680,2020-01-24,Fri,Jan
2,Life Is Good (feat. Drake),Future,2157615,2020-01-24,Fri,Jan
3,Godzilla (feat. Juice WRLD),Eminem,2038004,2020-01-24,Fri,Jan
