Name,Category
Anne Hathaway,Actresses
Tina Fey,Television actresses
Drew Barrymore,Actresses
Charlie Sheen,Television actors
Eva Longoria,Television actresses
Ana Ivanovic,Athletes
Alec Baldwin,Actors
Sandra Bullock,Actresses
Steve Carell,Comedians
Hugh Laurie,Television actors
Wolfgang Puck,Personalities
Penn & Teller,Magicians
Kate Moss,Models
Mariska Hargitay,Television actresses
Jennifer Love Hewitt,Television actresses
Danica Patrick,Athletes
Oprah Winfrey,Personalities
Beyonce Knowles,Musicians
James Cameron,Directors/Producers
Lady Gaga,Musicians
Tiger Woods,Athletes
Britney Spears,Musicians
U2,Musicians
Sandra Bullock,Actresses
Johnny Depp,Actors
Madonna,Musicians
Simon Cowell,Personalities
Taylor Swift,Musicians
Miley Cyrus,Musicians
Kobe Bryant,Athletes
Jay-Z,Musicians
Black Eyed Peas,Musicians
Bruce Springsteen,Musicians
Angelina Jolie,Actresses
Rush Limbaugh,Personalities
Michael Jordan,Athletes
Dr. Phil McGraw,Personalities
Steven Spielberg,Directors/Producers
Ellen DeGeneres,Personalities
David Letterman,Personalities
Tyler Perry,Directors/Producers
Jennifer Aniston,Actresses
Pink,Musicians
LeBron James,Athletes
Roger Federer,Athletes
Brad Pitt,Actors
Floyd Mayweather,Athletes
Michael Bay,Directors/Producers
Donald Trump,Personalities
Jay Leno,Comedians
Coldplay,Musicians
David Beckham,Athletes
Jerry Seinfeld,Comedians
AC/DC,Musicians
Howard Stern,Personalities
Jonas Brothers,Musicians
Tom Hanks,Actors
George Lucas,Directors/Producers
Glenn Beck,Personalities
Ryan Seacrest,Personalities
Phil Mickelson,Athletes
Ben Stiller,Actors
Jerry Bruckheimer,Directors/Producers
Cristiano Ronaldo,Athletes
Alex Rodriguez,Athletes
Robert Pattinson,Actors
Conan O'Brien,Personalities
Shaquille O'Neal,Athletes
James Patterson,Authors
Kenny Chesney,Musicians
Manny Pacquiao,Athletes
Tom Cruise,Actors
Adam Sandler,Actors
George Clooney,Actors
Stephenie Meyer,Authors
Cameron Diaz,Actresses
Serena Williams,Athletes
Rascal Flatts,Musicians
Charlie Sheen,Television actors
Derek Jeter,Athletes
Lance Armstrong,Athletes
Kristen Stewart,Actresses
Toby Keith,Musicians
Sean (Diddy) Combs,Musicians
Stephen King,Authors
Sarah Jessica Parker,Television actresses
Leonardo DiCaprio,Actors
Judge Judy Sheindlin,Personalities
Robert Downey Jr.,Actors
Lil Wayne,Musicians
Reese Witherspoon,Actresses
Keith Urban,Musicians
Julia Roberts,Actresses
Steve Carell,Comedians
Meryl Streep,Actresses
Akon,Musicians
Maria Sharapova,Athletes
Daniel Radcliffe,Actors
Venus Williams,Athletes
Ray Romano,Comedians
Gisele Bündchen,Models
Heidi Klum,Models
Drew Barrymore,Actresses
Alec Baldwin,Actors
Kiefer Sutherland,Television actors
Tina Fey,Television actresses
Kate Moss,Models
Eva Longoria,Television actresses
Jeff Dunham,Comedians
George Lopez,Comedians
Katherine Heigl,Models
Danica Patrick,Athletes
Kate Hudson,Actresses
Chelsea Handler,Comedians
Jennifer Love Hewitt,Television actresses
Mariska Hargitay,Television actresses
Lady Gaga,Musicians
Oprah Winfrey,Personalities
Justin Bieber,Musicians
U2,Musicians
Elton John,Musicians
Tiger Woods,Athletes
Taylor Swift,Musicians
Bon Jovi,Musicians
Simon Cowell,Personalities
LeBron James,Athletes
Angelina Jolie,Actresses
Katy Perry,Musicians
Johnny Depp,Actors
Kobe Bryant,Athletes
Leonardo DiCaprio,Actors
Black Eyed Peas,Musicians
Donald Trump,Personalities
Dr. Phil McGraw,Personalities
Tyler Perry,Directors/Producers
Paul McCartney,Musicians
Jennifer Aniston,Actresses
Steven Spielberg,Directors/Producers
Rush Limbaugh,Personalities
Ryan Seacrest,Personalities
Roger Federer,Athletes
Howard Stern,Personalities
James Cameron,Directors/Producers
Charlie Sheen,Television actors
