Country,Happiness,All types,Beer,Wine,Spirits,Other alcoholic beverages,Overall rank,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Dominican Republic,5.302,5.54,2.97,0.33,2.18,0.06,83,0.982,1.441,0.614,0.578,0.12,0.106
Algeria,5.295,0.58,0.3,0.18,0.1,0,84,0.979,1.154,0.687,0.077,0.055,0.135
Morocco,5.254,0.43,0.17,0.18,0.08,0,85,0.779,0.797,0.669,0.46,0.026,0.074
China,5.246,5.62,1.67,0.2,3.75,0,86,0.989,1.142,0.799,0.597,0.029,0.103
Azerbaijan,5.201,2.92,0.31,0.13,2.48,0,87,1.024,1.161,0.603,0.43,0.031,0.176
Tajikistan,5.199,0.84,0.38,0.01,0.45,0,88,0.474,1.166,0.598,0.292,0.187,0.034
Macedonia,5.185,3.8,1.84,1.03,0.89,0.04,89,0.959,1.239,0.691,0.394,0.173,0.052
Jordan,5.161,0.28,0.06,0.02,0.2,0,90,0.822,1.265,0.645,0.468,0.13,0.134
Nigeria,5.155,7.79,0.73,0.04,0.06,6.96,91,0.689,1.172,0.048,0.462,0.201,0.032
Kyrgyzstan,5.131,3.88,0.52,0.08,3.28,0,92,0.53,1.416,0.594,0.54,0.281,0.035
Bosnia and Herzegovina,5.129,4.99,3.81,0.44,0.57,0.17,93,0.915,1.078,0.758,0.28,0.216,0.000
Mongolia,5.125,5.77,2.25,1.59,1.93,0,94,0.914,1.517,0.575,0.395,0.253,0.032
Vietnam,5.103,3.22,2.96,0.03,0.23,0,95,0.715,1.365,0.702,0.618,0.177,0.079
Indonesia,5.093,0.08,0.06,0,0.01,0,96,0.899,1.215,0.522,0.538,0.484,0.018
Bhutan,5.082,0.06,0.01,0.05,0,0,97,0.796,1.335,0.527,0.541,0.364,0.171
Somalia,4.982,0,0,0,0,0,98,0,0.712,0.115,0.674,0.238,0.282
Cameroon,4.975,4.19,2.47,0.12,0.01,1.59,99,0.535,0.891,0.182,0.454,0.183,0.043
Bulgaria,4.933,11.42,4.32,1.73,5.2,0.16,100,1.054,1.515,0.712,0.359,0.064,0.009
Nepal,4.88,0.32,0.22,0,0.1,0,101,0.425,1.228,0.539,0.526,0.302,0.078
Venezuela,4.806,2.84,1.86,0.1,0.84,0.04,102,0.996,1.469,0.657,0.133,0.056,0.052
Gabon,4.758,7.16,5.66,0.77,0.68,0.05,103,1.036,1.164,0.404,0.356,0.032,0.052
South Africa,4.724,7.26,3.89,1.36,1.32,0.68,105,0.94,1.41,0.33,0.516,0.103,0.056
Iran,4.707,0.03,0,0,0.03,0,106,1.059,0.771,0.691,0.459,0.282,0.129
Ghana,4.657,1.56,0.49,0,0.42,0.65,108,0.592,0.896,0.337,0.499,0.212,0.029
Senegal,4.631,0.27,0.18,0.07,0.02,0,109,0.429,1.117,0.433,0.406,0.138,0.082
Laos,4.623,7.26,3.85,0.02,3.39,0,110,0.72,1.034,0.441,0.626,0.23,0.174
Tunisia,4.592,1.6,1,0.38,0.19,0.02,111,0.9,0.906,0.69,0.271,0.04,0.063
Albania,4.586,4.7,1.6,1.3,1.72,0.08,112,0.916,0.817,0.79,0.419,0.149,0.032
Sierra Leone,4.571,3.43,0.15,0.04,0,3.25,113,0.256,0.813,0,0.355,0.238,0.053
Congo Republic,4.559,5.75,5.18,0.1,0.46,0.01,114,0.682,0.811,0.343,0.514,0.091,0.077
